,id,conversation_id,created_at,date,tweet,language,hashtags,user_id,username,name,day,hour,link,urls,photos,video,retweet,nlikes,nreplies,nretweets,reply_to,time,vader_neg,vader_neu,vader_pos,vader_compound
1351,1324692947904860162,1324692947904860162,1604666385000.0,2020-11-06,Govt to provide RM95 mln micro credit financing to empower women entrepreneurs   https://t.co/giWxgbrdOy  @tzafrul_aziz @MOFmalaysia #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/u00o876mjp,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,12,https://twitter.com/bernamadotcom/status/1324692947904860162,['https://www.bernama.com/en/business/news.php?id=1897997'],['https://pbs.twimg.com/media/EmJA63sVkAIAMgH.jpg'],1,False,3,0,1,[],12:39:45,0.0,0.88,0.12,0.3818
1359,1324691878265016320,1324691878265016320,1604666130000.0,2020-11-06,Gov't allocates additional RM1 bln to stem COVID-19 third wave   https://t.co/43s12rBKEU  @tzafrul_aziz @MOFmalaysia    #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/foEfF5Hic0,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,12,https://twitter.com/bernamadotcom/status/1324691878265016320,['https://www.bernama.com/en/business/news.php?id=1898033'],['https://pbs.twimg.com/media/EmI__4FVoAA6aS-.jpg'],1,False,9,0,3,[],12:35:30,0.0,1.0,0.0,0.0
1366,1324690475211653120,1324690475211653120,1604665795000.0,2020-11-06,"#NSTnation The RM6.5 billion in monetary aid would be disbursed, benefiting an estimated 8.1 million Malaysians.  #Budget2021 #Belanjawan2021 #Bajet2021 #B40 #M40 #Initiatives #Financial #Burden    https://t.co/APdB8Yh11N",en,"['nstnation', 'budget2021', 'belanjawan2021', 'bajet2021', 'b40', 'm40', 'initiatives', 'financial', 'burden']",55186601,NST_Online,New Straits Times,5,12,https://twitter.com/NST_Online/status/1324690475211653120,['https://www.nst.com.my/news/government-public-policy/2020/11/638842/government-initiatives-alleviate-financial-burden-b40'],[],0,False,1,0,0,[],12:29:55,0.0,1.0,0.0,0.0
1368,1324690224480333824,1324690224480333824,1604665735000.0,2020-11-06,"#NSTnation The increase of hourly allowance would be an encouragement to lift their morale in dispensing their (firemen) daily duties, especially now during the Covid-19 pandemic.  #Budget2021 #Belanjawan2021 #Bajet2021 #Firemen #Allowance    https://t.co/UhpsFsotcz",en,"['nstnation', 'budget2021', 'belanjawan2021', 'bajet2021', 'firemen', 'allowance']",55186601,NST_Online,New Straits Times,5,12,https://twitter.com/NST_Online/status/1324690224480333824,['https://www.nst.com.my/news/government-public-policy/2020/11/638838/revision-auxiliary-firemens-hourly-allowance-welcomed'],[],0,False,1,0,0,[],12:28:55,0.0,0.855,0.145,0.6249
1380,1324686943381344259,1324686943381344259,1604664953000.0,2020-11-06,Finance Minister: The government is committed to implement transport infrastructure project to increase the mobility of rakyat. #Budget2021 #Belanjawan2021  https://t.co/ZeEWYXbqeY,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,12,https://twitter.com/staronline/status/1324686943381344259,['https://www.thestar.com.my/business/business-news/2020/11/06/budget-2021-rm15b-for-infra-projects'],[],0,False,23,4,7,[],12:15:53,0.0,0.804,0.196,0.5267
1382,1324686716888907784,1324686716888907784,1604664899000.0,2020-11-06,With an allocation of RM6.5bil.  #Budget2021 #Belanjawan2021  https://t.co/g1eONdldWD,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,12,https://twitter.com/staronline/status/1324686716888907784,['https://www.thestar.com.my/news/nation/2020/11/06/budget-2021-bantuan-prihatin-rakyat-to-replace-bantuan-sara-hidup-81-million-people-expected-to-benefit'],[],0,False,6,1,2,[],12:14:59,0.0,1.0,0.0,0.0
1389,1324685378004131841,1324685378004131841,1604664580000.0,2020-11-06,The Matta president said #Budget2021 failed to provide solid initiatives to protect jobs and tourism businesses. #Belanjawan2021  https://t.co/WexAmgXnSK,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,12,https://twitter.com/staronline/status/1324685378004131841,['https://www.thestar.com.my/lifestyle/travel/2020/11/06/budget-2021-tourism-workers-should-look-for-job-in-other-industries-says-matta'],[],0,False,2,0,1,[],12:09:40,0.147,0.667,0.187,-0.0258
1393,1324684667694428161,1324684667694428161,1604664410000.0,2020-11-06,#NSTnation The allocation was equivalent to 15.6 per cent of the total government expenditure.  #Budget2021 #Belanjawan2021 #Bajet2021 #Education    https://t.co/d28cvt9nNJ,en,"['nstnation', 'budget2021', 'belanjawan2021', 'bajet2021', 'education']",55186601,NST_Online,New Straits Times,5,12,https://twitter.com/NST_Online/status/1324684667694428161,['https://www.nst.com.my/news/government-public-policy/2020/11/638830/education-ministry-gets-largest-allocation-rm504b-2021'],[],0,False,8,0,4,[],12:06:50,0.0,1.0,0.0,0.0
1399,1324683272727621632,1324683272727621632,1604664078000.0,2020-11-06,"#NSTnation  The government will allocate RM1.2 billion to improve house ownership among Malaysians and provide comfortable and quality housing, especially for the low-income group.   https://t.co/5MozFPB7Wz  #NSTbudget2021  #Budget2021 #Belanjawan2021 #Bajet2021",en,"['nstnation', 'nstbudget2021', 'budget2021', 'belanjawan2021', 'bajet2021']",55186601,NST_Online,New Straits Times,5,12,https://twitter.com/NST_Online/status/1324683272727621632,['https://www.nst.com.my/news/government-public-policy/2020/11/638826/govt-improve-home-ownership-among-msians-especially-low'],[],0,False,3,0,4,[],12:01:18,0.0,0.813,0.187,0.7351
1400,1324683100010340353,1324683100010340353,1604664037000.0,2020-11-06,#NSTnation Penang Chief Minister's investment adviser Datuk Seri Lee Kah Choon said now would be a good time for local companies here to push for more automation and digitalisation.  #Budget2021 #Belanjawan2021 #Bajet2021 #Penang #Technology #Investment    https://t.co/UpovpwmJnK,en,"['nstnation', 'budget2021', 'belanjawan2021', 'bajet2021', 'penang', 'technology', 'investment']",55186601,NST_Online,New Straits Times,5,12,https://twitter.com/NST_Online/status/1324683100010340353,['https://www.nst.com.my/news/government-public-policy/2020/11/638828/2021-budget-tremendous-opportunity-penang-play'],[],0,False,3,0,1,[],12:00:37,0.0,0.921,0.079,0.4404
